GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sportstracker,com.example,SportsTracker.Activity,0,15,0,0,0,5,0,2,0,2
sportstracker,com.example,SportsTracker,78,59,6,3,30,14,7,7,2,6
